Event	ID	Name			Wwise Object Path	Notes
	47597890	grab_radiola			\Default Work Unit\grab_radiola	
	175705637	clock_ticking			\Default Work Unit\clock_ticking	
	290976602	window_rain			\Default Work Unit\window_rain	
	327485194	final_cassette			\Default Work Unit\final_cassette	
	334475136	amb_apartment			\Default Work Unit\amb_apartment	
	1006024461	amb_forest			\Default Work Unit\amb_forest	
	1441833858	grab_cassette			\Default Work Unit\grab_cassette	
	1717311988	stop_magnitola			\Default Work Unit\stop_magnitola	
	1854366052	monster_sounds			\Default Work Unit\monster_sounds	
	1894362767	foot_player			\Default Work Unit\foot_player	
	1931646578	campfire			\Default Work Unit\campfire	
	2179486487	heartbeat			\Default Work Unit\heartbeat	
	2468322237	monster_footsteps			\Default Work Unit\monster_footsteps	
	2564005774	monster_drag			\Default Work Unit\monster_drag	
	3574949606	monster_grab			\Default Work Unit\monster_grab	
	3766095932	apartment_radiola			\Default Work Unit\apartment_radiola	

Switch Group	ID	Name			Wwise Object Path	Notes
	3065790930	switch_monster			\Default Work Unit\switch_monster	
	3666776035	switch_material			\Default Work Unit\switch_material	

Switch	ID	Name	Switch Group			Notes
	1206605712	angry	switch_monster			
	3753286132	calm	switch_monster			
	491961918	forest	switch_material			
	2058049674	wood	switch_material			
	2412606308	carpet	switch_material			

State Group	ID	Name			Wwise Object Path	Notes
	2777765971	state_monster			\Default Work Unit\state_monster	

State	ID	Name	State Group			Notes
	748895195	None	state_monster			
	1206605712	angry	state_monster			
	1874288895	idle	state_monster			

Custom State	ID	Name	State Group	Owner		Notes
	336103638	angry	state_monster	\Actor-Mixer Hierarchy\Default Work Unit\SFX\monster\monster_state\monster_attack\monster_idle		
	833983945	idle	state_monster	\Actor-Mixer Hierarchy\Default Work Unit\SFX\monster\monster_state\monster_attack\monster_angry		

Source plug-ins	ID	Name	Type		Wwise Object Path	Notes
	288262444	Silence	Wwise Silence		\Actor-Mixer Hierarchy\Default Work Unit\SFX\amb_forest\screams\screams\Silence2\Silence	
	315219112	Silence	Wwise Silence		\Actor-Mixer Hierarchy\Default Work Unit\SFX\amb_forest\ravens\ravens_far\Silence\Silence	
	354502254	Silence	Wwise Silence		\Actor-Mixer Hierarchy\Default Work Unit\SFX\amb_forest\coyotes\Silence\Silence	
	457245027	Silence	Wwise Silence		\Actor-Mixer Hierarchy\Default Work Unit\SFX\amb_forest\ravens\ravens_far\ravens_fast\Silence\Silence	
	492505368	Silence	Wwise Silence		\Actor-Mixer Hierarchy\Default Work Unit\SFX\amb_forest\ravens\ravens_far\Silence_01\Silence	
	573050668	Silence	Wwise Silence		\Actor-Mixer Hierarchy\Default Work Unit\SFX\amb_forest\owls\Silence\Silence	
	649644791	Silence	Wwise Silence		\Actor-Mixer Hierarchy\Default Work Unit\SFX\amb_forest\screams\screams\Silence\Silence	
	740640262	Silence	Wwise Silence		\Actor-Mixer Hierarchy\Default Work Unit\SFX\amb_forest\ravens\Silence\Silence	
	866905598	Silence	Wwise Silence		\Actor-Mixer Hierarchy\Default Work Unit\SFX\amb_forest\ravens_short\Silence\Silence	
	949057456	Silence	Wwise Silence		\Actor-Mixer Hierarchy\Default Work Unit\SFX\amb_forest\far_sounds\far_grass\silence\Silence	
	980843482	Silence	Wwise Silence		\Actor-Mixer Hierarchy\Default Work Unit\SFX\amb_forest\ravens\ravens_far\ravens_fast\ravens_fast\Silence\Silence	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	73115121	FS_forest_2	Y:\Desktop\Create with code\ScreamJam2023\ScreamJam2023\ScreamJam2023_WwiseProject\.cache\Mac\SFX\steps\forest\FS_forest_2_3C6A4CA8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\footsteps\forest\FS_forest_2		5637
	99471019	19	Y:\Desktop\Create with code\ScreamJam2023\ScreamJam2023\ScreamJam2023_WwiseProject\.cache\Mac\SFX\screams\little\19_3C6A4CA8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\amb_forest\screams\screams\little\19		17931
	110289547	ravens47	Y:\Desktop\Create with code\ScreamJam2023\ScreamJam2023\ScreamJam2023_WwiseProject\.cache\Mac\SFX\ravens47_3C6A4CA8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\amb_forest\ravens_short\ravens_shot\ravens47		20992
	119398464	Kain_carpet_run8	Y:\Desktop\Create with code\ScreamJam2023\ScreamJam2023\ScreamJam2023_WwiseProject\.cache\Mac\SFX\steps\carpet\Kain_carpet_run8_3C6A4CA8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\footsteps\carpet\Kain_carpet_run8		2419
	142175100	grass_far2	Y:\Desktop\Create with code\ScreamJam2023\ScreamJam2023\ScreamJam2023_WwiseProject\.cache\Mac\SFX\grass_far2_3C6A4CA8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\amb_forest\far_sounds\far_grass\ebaka_grass\grass_far2		23686
	146195027	coyote_13	Y:\Desktop\Create with code\ScreamJam2023\ScreamJam2023\ScreamJam2023_WwiseProject\.cache\Mac\SFX\coyotes\coyote_13_3C6A4CA8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\amb_forest\coyotes\coyotes\coyote_13		21943
	149301052	20	Y:\Desktop\Create with code\ScreamJam2023\ScreamJam2023\ScreamJam2023_WwiseProject\.cache\Mac\SFX\screams\little\20_3C6A4CA8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\amb_forest\screams\screams\little\20		16466
	161686864	coyote_07	Y:\Desktop\Create with code\ScreamJam2023\ScreamJam2023\ScreamJam2023_WwiseProject\.cache\Mac\SFX\coyotes\coyote_07_3C6A4CA8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\amb_forest\coyotes\coyotes\coyote_07		27268
	162596081	ravens49	Y:\Desktop\Create with code\ScreamJam2023\ScreamJam2023\ScreamJam2023_WwiseProject\.cache\Mac\SFX\ravens49_3C6A4CA8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\amb_forest\ravens_short\ravens_shot\ravens49		48400
	170906427	wolf begin_howl3	Y:\Desktop\Create with code\ScreamJam2023\ScreamJam2023\ScreamJam2023_WwiseProject\.cache\Mac\SFX\ebaka_howl\wolf begin_howl3_3C6A4CA8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\ebaka_detected\ebaka_howl\wolf begin_howl3		46703
	190135029	coyote_06	Y:\Desktop\Create with code\ScreamJam2023\ScreamJam2023\ScreamJam2023_WwiseProject\.cache\Mac\SFX\coyotes\coyote_06_3C6A4CA8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\amb_forest\coyotes\coyotes\coyote_06		27738
